"Hugo_Symbol"	"Frame_Shift_Del"	"Frame_Shift_Ins"	"In_Frame_Del"	"In_Frame_Ins"	"Missense_Mutation"	"Nonsense_Mutation"	"Nonstop_Mutation"	"Splice_Site"	"Translation_Start_Site"	"total"	"MutatedSamples"	"AlteredSamples"
"SEC31B"	0	0	0	0	1	0	0	1	0	2	2	2
"SEPT6"	0	0	0	0	1	0	1	0	0	2	2	2
"SETDB1"	0	0	0	0	2	0	0	0	0	2	2	2
"SFPQ"	1	0	0	0	1	0	0	0	0	2	2	2
"SIDT2"	0	0	0	0	2	0	0	0	0	2	2	2
"SIGLEC6"	0	0	0	0	2	0	0	0	0	2	2	2
"SMG1"	0	0	0	0	0	2	0	0	0	2	2	2
"SMG8"	0	0	0	0	2	0	0	0	0	2	2	2
"SPEF2"	0	0	0	0	2	0	0	0	0	2	2	2
"SPRY3"	0	0	0	0	2	0	0	0	0	2	2	2
"SRRM4"	0	0	0	0	2	0	0	0	0	2	2	2
"SUPT16H"	0	0	0	0	2	0	0	0	0	2	2	2
"SYNE1"	0	0	0	0	2	0	0	0	0	2	2	2
"TAF1L"	0	0	0	0	2	0	0	0	0	2	2	2
"TCHH"	0	0	0	0	2	0	0	0	0	2	2	2
"TDRD1"	0	0	0	0	2	0	0	0	0	2	2	2
"TEKT5"	0	0	0	0	2	0	0	0	0	2	2	2
"TEX11"	0	0	0	0	1	1	0	0	0	2	2	2
"TEX15"	0	0	0	0	2	0	0	0	0	2	2	2
"THAP7"	0	0	0	0	2	0	0	0	0	2	2	2
"TNFAIP3"	0	0	0	0	2	0	0	0	0	2	2	2
"TNXB"	0	0	0	0	2	0	0	0	0	2	2	2
"TP73"	0	0	0	0	2	0	0	0	0	2	2	2
"TSHZ3"	0	0	0	0	2	0	0	0	0	2	2	2
"TSNARE1"	0	0	0	0	2	0	0	0	0	2	2	2
"TTBK2"	0	0	0	0	1	1	0	0	0	2	2	2
"UBXN2A"	0	0	0	0	1	1	0	0	0	2	2	2
"UMODL1"	0	0	0	0	2	0	0	0	0	2	2	2
"UNC5C"	0	0	0	0	2	0	0	0	0	2	2	2
"UNC93B1"	0	0	0	0	2	0	0	0	0	2	2	2
"UTRN"	0	0	0	0	2	0	0	0	0	2	2	2
"WDR7"	0	0	0	0	2	0	0	0	0	2	2	2
"WDR87"	0	0	0	0	2	0	0	0	0	2	2	2
"XKR4"	0	0	0	0	2	0	0	0	0	2	2	2
"XPOT"	0	0	0	0	2	0	0	0	0	2	2	2
"ZFPM2"	0	0	0	0	2	0	0	0	0	2	2	2
"ZNF142"	0	0	0	0	1	1	0	0	0	2	2	2
"ZNF229"	0	0	0	0	2	0	0	0	0	2	2	2
"ZNF234"	0	0	0	0	2	0	0	0	0	2	2	2
"ZNF592"	0	0	0	0	2	0	0	0	0	2	2	2
"ZNF90"	0	0	0	0	2	0	0	0	0	2	2	2
"C9orf131"	0	0	0	0	2	2	0	0	0	4	1	1
"ABCA13"	0	0	0	0	3	0	0	0	0	3	1	1
"DCTN1"	0	0	0	0	3	0	0	0	0	3	1	1
"PITX3"	0	0	0	0	3	0	0	0	0	3	1	1
"ACACB"	0	0	0	0	2	0	0	0	0	2	1	1
"ADAMTSL1"	0	0	0	0	1	1	0	0	0	2	1	1
"ADAR"	0	0	0	0	2	0	0	0	0	2	1	1
"ADGRL1"	0	0	0	0	2	0	0	0	0	2	1	1
"APC"	0	0	0	0	2	0	0	0	0	2	1	1
"ATR"	0	0	0	0	2	0	0	0	0	2	1	1
"C5orf42"	0	0	0	0	1	1	0	0	0	2	1	1
"CCDC172"	0	0	0	0	2	0	0	0	0	2	1	1
"CCNT1"	0	0	0	0	2	0	0	0	0	2	1	1
"CDC6"	0	0	0	0	2	0	0	0	0	2	1	1
"CIZ1"	0	0	0	0	2	0	0	0	0	2	1	1
"CXCR1"	0	0	0	0	2	0	0	0	0	2	1	1
"DCHS1"	0	0	0	0	2	0	0	0	0	2	1	1
"DDX41"	0	0	0	0	2	0	0	0	0	2	1	1
"DLST"	0	0	0	0	2	0	0	0	0	2	1	1
"DNAH9"	0	0	0	0	2	0	0	0	0	2	1	1
"DOC2A"	0	0	0	0	2	0	0	0	0	2	1	1
"DYNC1H1"	0	0	0	0	2	0	0	0	0	2	1	1
"EDN3"	1	0	0	0	1	0	0	0	0	2	1	1
"EPHB3"	0	0	0	0	2	0	0	0	0	2	1	1
"ERCC4"	0	0	0	0	1	1	0	0	0	2	1	1
